fast_speed_range,fast_max_speed,slow_total_profit,slow_win_rate,fast_total_profit,fast_win_rate,fast_miss_rate,slow_miss_rate,fast_avg_profit_per_bid,slow_avg_profit_per_bid,fast_avg_profit_per_win,slow_avg_profit_per_win
"(np.float64(0.615), np.float64(0.915))",0.915,8344.06468,0.95929,214.33693,0.04071,0.96892,0.0,0.03193,0.03863,0.12188,0.20135
"(np.float64(0.622), np.float64(0.922))",0.922,8463.03217,0.97269,145.36466,0.02731,0.97994,0.0,0.03356,0.03918,0.12323,0.2014
"(np.float64(0.629), np.float64(0.929))",0.929,6644.712,0.77782,1194.74427,0.22218,0.79804,0.0,0.02739,0.03076,0.12448,0.19775
"(np.float64(0.636), np.float64(0.936))",0.936,8679.46492,0.99753,13.47773,0.00247,0.9981,0.0,0.03284,0.04018,0.12643,0.20141
"(np.float64(0.643), np.float64(0.943))",0.943,8629.21934,0.99214,40.81087,0.00786,0.99418,0.0,0.03247,0.03995,0.12024,0.20133
"(np.float64(0.651), np.float64(0.951))",0.951,8512.29195,0.97759,118.59114,0.02241,0.98295,0.0,0.03219,0.03941,0.12251,0.20156
"(np.float64(0.658), np.float64(0.958))",0.958,8716.93464,0.99995,0.3058,5e-05,0.99996,0.0,0.03475,0.04036,0.1529,0.20179
"(np.float64(0.665), np.float64(0.965))",0.965,8744.09191,1.0,0.0,0.0,1.0,0.0,0.0,0.04048,0.0,0.20241
"(np.float64(0.672), np.float64(0.972))",0.972,8664.06001,0.9931,36.18737,0.0069,0.99489,0.0,0.03277,0.04011,0.12143,0.20195
"(np.float64(0.679), np.float64(0.979))",0.979,8665.7219,0.99429,29.39847,0.00571,0.99581,0.0,0.03248,0.04012,0.11922,0.20175
"(np.float64(0.686), np.float64(0.986))",0.986,8718.30829,0.99978,1.18767,0.00022,0.99984,0.0,0.03453,0.04036,0.12372,0.20186
"(np.float64(0.693), np.float64(0.993))",0.993,8724.39024,1.0,0.0,0.0,1.0,0.0,0.0,0.04039,0.0,0.20195
"(np.float64(0.7), np.float64(1.0))",1.0,8742.42231,1.0,0.0,0.0,1.0,0.0,0.0,0.04047,0.0,0.20237
